문제,보기1,보기2,보기3,보기4,정답,해설
"럼바우(Rumbaugh)의 객체지향 분석 절차를 가장 바르게 나열한 것은?","객체 모형 → 동적 모형 → 기능 모형","객체 모형 → 기능 모형 → 동적 모형","기능 모형 → 동적 모형 → 객체 모형","기능 모형 → 객체 모형 → 동적 모형",①,"객체지향 분석 방법론 중 럼바우(Rumbaugh)의 분석 절차는 '객체 모형(Object Model) → 동적 모형(Dynamic Model) → 기능 모형(Functional Model)'이 정답입니다."
"XP(eXtreme Programing)의 5가지 가치로 거리가 먼 것은?","용기","의사소통","정형 분석","피드백",③,"XP의 5가지 가치는 용기, 의사소통, 피드백, 존중, 단순성입니다. 정형 분석은 해당하지 않습니다."
"애자일 기법에 대한 설명으로 맞지 않은 것은?","절차와 도구보다 개인과 소통을 중요하게 생각한다.","계획에 중점을 두어 변경 대응이 난해하다.","소프트웨어가 잘 실행되는데 가치를 둔다.","고객과의 피드백을 중요하게 생각한다.",②,"애자일(Agile)은 변화 대응을 중요하게 여기며 계획에 중점을 두었다기보다 변화에 유연하게 대처하는 기법입니다."
"UML에서 활용되는 다이어그램 중 시스템의 동작을 표현하는 행위(Behavioral) 다이어그램에 해당하지 않는 것은?","유스케이스 다이어그램(Use Case Diagram)","시퀀스 다이어그램(Sequence Diagram)","활동 다이어그램(Activity Diagram)","배치 다이어그램(Deployment Diagram)",④,"행위(Behavioral) 다이어그램에는 유스케이스, 시퀀스, 활동 다이어그램이 포함됩니다. 배치 다이어그램은 구조(Structural) 다이어그램입니다."
"디자인 패턴 사용의 장·단점에 대한 설명으로 거리가 먼 것은?","소프트웨어 구조 파악이 용이하다.","객체지향 설계 및 구현의 생산성을 높이는데 적합하다.","재사용을 위한 개발 시간이 단축된다.","절차형 언어와 함께 이용될 때 효율이 극대화된다.",④,"디자인 패턴은 객체지향 언어에서 효율이 극대화되며, 절차형 언어와는 효율이 극대화되지 않습니다."
"클라이언트와 서버 간의 통신을 담당하는 시스템 소프트웨어를 무엇이라고 하는가?","웨어러블","하이웨어","미들웨어","응용 소프트웨어",③,"미들웨어(Middleware)는 클라이언트와 서버 간의 통신을 담당하는 소프트웨어입니다."
"CASE(Computer Aided Software Engineering)에 대한 설명으로 틀린 것은?","소프트웨어 모듈의 재사용성이 향상된다.","자동화된 기법을 통해 소프트웨어 품질이 향상된다.","소프트웨어 사용자들에게 사용 방법을 신속히 숙지시키기 위해 사용된다.","소프트웨어 유지보수를 간편하게 수행할 수 있다.",③,"CASE는 소프트웨어 개발과 품질 향상, 유지보수 지원에 관련되어 있지만, 사용자 교육을 위한 도구는 아닙니다."
"다음은 어떤 프로그램 구조를 나타낸다. 모듈 F에서의 fan-in과 fan-out의 수는 얼마인가?","fan-in : 2, fan-out : 3","fan-in : 3, fan-out : 2","fan-in : 1, fan-out : 2","fan-in : 2, fan-out : 1",②,"팬인(fan-in)은 해당 모듈에 들어오는(제어를 받는) 선의 수, 팬아웃(fan-out)은 모듈에서 나가는(제어하는) 선의 수를 말합니다. F에 들어오는 선이 3, 나가는 선이 2이므로 fan-in=3, fan-out=2입니다."
"요구사항 개발 프로세스의 순서로 옳은 것은?","도출 → 분석 → 명세 → 확인","도출 → 명세 → 분석 → 확인","도출 → 확인 → 분석 → 명세","도출 → 분석 → 확인 → 명세",①,"요구사항 개발 프로세스의 순서는 도출(Elicitation)→분석(Analysis)→명세(Specification)→확인(Validation)입니다."
"시스템의 구성 요소로 볼 수 없는 것은?","Process","Feedback","Maintenance","Control",③,"시스템의 구성 요소에는 Input, Process, Output, Control, Feedback이 있으며, Maintenance는 직접적인 구성 요소가 아닙니다."
"UML 모델에서 한 사물의 명세가 바뀌면 다른 사물에 영향을 주며, 일반적으로 한 클래스가 다른 클래스를 오퍼레이션의 매개 변수로 사용하는 경우에 나타나는 관계는?","Association","Dependency","Realization","Generalization",②,"의존(Dependency) 관계는 한 클래스가 다른 클래스의 변화를 의존하는, 즉 파라미터로 넘기는 등의 상황에서 나타나는 관계입니다."
